intent_id,display_name,categoria,corpus_ref,confianza_minima,confianza_minima_anterior,criterio_calibracion,n_validacion,score_minimo_correcto,margen_aplicado,observaciones
consulta_tutoria_definicion,Qué es la tutoría académica en la UNSAAC,TUT,TUT-001,0.6,0.72,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_frecuencia,Con qué frecuencia debo asistir a las sesiones de tutoría,TUT,TUT-002,0.6,0.72,piso_categoria_aplicado,4,0.1111,0.1,Score mínimo calculado (0.100) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_contacto_tutor,Quién es mi tutor asignado y cómo puedo contactarlo,TUT,TUT-003,0.6,0.72,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_temas,Qué temas se tratan en las sesiones de tutoría,TUT,TUT-004,0.6,0.72,piso_categoria_aplicado,4,0.5,0.1,Score mínimo calculado (0.450) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_obligatoriedad,La asistencia a tutoría es obligatoria,TUT,TUT-005,0.6,0.72,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_registro_asistencia,Cómo se registra la asistencia a las sesiones de tutoría,TUT,TUT-006,0.6,0.72,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_cambio_tutor,Puedo cambiar de tutor si tengo dificultades con el asignado,TUT,TUT-007,0.6,0.72,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_reglamento,Existe algún reglamento que regule el proceso de tutorías,TUT,TUT-008,0.6,0.72,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_materiales_sesion,Qué debo llevar a una sesión de tutoría,TUT,TUT-009,0.6,0.72,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tutoria_confidencialidad,Las sesiones de tutoría son confidenciales,TUT,TUT-010,0.6,0.72,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_general,Cuáles son los tipos de tutoría que ofrece la escuela,TTUT,TTUT-001,0.6,0.7,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_individual,En qué consiste la tutoría individual,TTUT,TTUT-002,0.6,0.7,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_grupal,Qué es la tutoría grupal y cómo se organiza,TTUT,TTUT-003,0.6,0.7,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_pares,Qué es la tutoría entre pares,TTUT,TTUT-004,0.6,0.7,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_virtual,Existe tutoría en línea o virtual,TTUT,TTUT-005,0.6,0.7,piso_categoria_aplicado,4,0.375,0.1,Score mínimo calculado (0.338) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_vs_psicologia,Cuál es la diferencia entre tutoría académica y orientación ,TTUT,TTUT-006,0.6,0.7,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_ingresantes,Qué es la tutoría de ingresantes,TTUT,TTUT-007,0.6,0.7,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_riesgo_academico,Existe tutoría para estudiantes con bajo rendimiento,TTUT,TTUT-008,0.6,0.7,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_vs_asesoria_tesis,Qué diferencia hay entre tutoría y asesoría de tesis,TTUT,TTUT-009,0.6,0.7,piso_categoria_aplicado,4,0.5714,0.1,Score mínimo calculado (0.514) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_tipos_tutoria_vocacional,La tutoría cubre también orientación vocacional y de carrera,TTUT,TTUT-010,0.6,0.7,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.60). Se elevó al piso.
consulta_cursos_duracion_carrera,Cuántos semestres tiene la carrera de Ingeniería Informática,CUR,CUR-001,0.65,0.74,piso_categoria_aplicado,4,0.25,0.1,Score mínimo calculado (0.225) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_total_creditos,Cuántos créditos son necesarios para culminar la carrera,CUR,CUR-002,0.65,0.74,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_primer_semestre,Cuáles son los cursos del primer semestre,CUR,CUR-003,0.65,0.74,piso_categoria_aplicado,4,0.2857,0.1,Score mínimo calculado (0.257) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_adelanto_semestres,Puedo llevar cursos de otro semestre si aprobé los prerrequi,CUR,CUR-004,0.65,0.74,piso_categoria_aplicado,4,0.4286,0.1,Score mínimo calculado (0.386) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_desaprobacion,Qué pasa si desapruebo un curso,CUR,CUR-005,0.65,0.74,piso_categoria_aplicado,4,0.125,0.1,Score mínimo calculado (0.113) caía por debajo del piso de categoría (0.65). Se elevó al piso.
consulta_cursos_areas_plan_estudios,Cómo está organizado el plan de estudios por áreas,CUR,CUR-006,0.65,0.74,piso_categoria_aplicado,4,0.1429,0.1,Score mínimo calculado (0.129) caía por debajo del piso de categoría (0.65). Se elevó al piso.
